Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Australia,AU
2023-01-02,Day off for New Year's Day,['Local holiday'],Australia,AU
2023-01-06,Epiphany,['Christian'],Australia,AU
2023-01-07,Orthodox Christmas Day,['Orthodox'],Australia,AU
2023-01-14,Orthodox New Year,['Orthodox'],Australia,AU
2023-01-22,Lunar New Year,['Observance'],Australia,AU
2023-01-22,Lunar New Year,['Local holiday'],Australia,AU
2023-01-23,Lunar New Year Holiday (Day 2),['Local holiday'],Australia,AU
2023-01-26,Australia Day,['National holiday'],Australia,AU
2023-02-06,Tu B'Shevat (Arbor Day),['Hebrew'],Australia,AU
2023-02-13,Royal Hobart Regatta,['Local holiday'],Australia,AU
2023-02-14,Valentine's Day,['Observance'],Australia,AU
2023-02-18,Isra and Mi'raj,['Muslim'],Australia,AU
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['Christian'],Australia,AU
2023-02-22,Ash Wednesday,['Christian'],Australia,AU
2023-03-06,Labour Day,['Local holiday'],Australia,AU
2023-03-07,Purim,['Hebrew'],Australia,AU
2023-03-13,Labour Day,['Local holiday'],Australia,AU
2023-03-13,Eight Hours Day,['Local holiday'],Australia,AU
2023-03-13,Adelaide Cup,['Local holiday'],Australia,AU
2023-03-13,Canberra Day,['Local holiday'],Australia,AU
2023-03-16,National Close the Gap Day,['Observance'],Australia,AU
2023-03-17,St Patrick's Day,['Observance'],Australia,AU
2023-03-21T08:24:20+11:00,March Equinox,['Season'],Australia,AU
2023-03-21,Harmony Day,['Observance'],Australia,AU
2023-03-23,Ramadan Start,['Muslim'],Australia,AU
2023-04-02T03:00:00+11:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Australia,AU
2023-04-02,Palm Sunday,['Christian'],Australia,AU
2023-04-06,Maundy Thursday,['Christian'],Australia,AU
2023-04-06,First day of Passover,['Hebrew'],Australia,AU
2023-04-06,Self Determination Day,['Local holiday'],Australia,AU
2023-04-07,Good Friday,['Local holiday'],Australia,AU
2023-04-07,Good Friday,"['National holiday', 'Christian']",Australia,AU
2023-04-08,Holy Saturday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Observance'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
2023-04-09,Easter Sunday,['Local holiday'],Australia,AU
