Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Germany,DE
2023-01-06,Epiphany,"['Observance', 'Christian']",Germany,DE
2023-01-06,Epiphany,['Common local holiday'],Germany,DE
2023-01-22,Franco-German Day,['Observance'],Germany,DE
2023-01-27,Remembrance Day for the Victims of National Socialism,['Observance'],Germany,DE
2023-02-14,Valentine's Day,['Observance'],Germany,DE
2023-02-16,Hizir Fast,['Observance'],Germany,DE
2023-02-20,Shrove Monday,['Observance'],Germany,DE
2023-02-21,Carnival Tuesday,['Observance'],Germany,DE
2023-02-22,Carnival / Ash Wednesday,"['Observance', 'Christian']",Germany,DE
2023-03-08,International Women's Day,['Observance'],Germany,DE
2023-03-08,International Women's Day,['Observance'],Germany,DE
2023-03-08,International Women's Day,['Observance'],Germany,DE
2023-03-08,International Women's Day,['Common local holiday'],Germany,DE
2023-03-08,International Women's Day,['Common local holiday'],Germany,DE
2023-03-17,St. Patrick's Day,"['Observance', 'Christian']",Germany,DE
2023-03-18,Anniversary of the March Revolution,['Observance'],Germany,DE
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Germany,DE
2023-03-21,Alevitic New Year,['Observance'],Germany,DE
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Germany,DE
2023-04-02,Palm Sunday,"['Observance', 'Christian']",Germany,DE
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Germany,DE
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Germany,DE
2023-04-06,First Day of Passover,"['Observance', 'Hebrew']",Germany,DE
2023-04-07,Good Friday,"['National holiday', 'Christian']",Germany,DE
2023-04-07,Second Day of Passover,"['Observance', 'Hebrew']",Germany,DE
2023-04-08,Holy Saturday,"['Observance', 'Christian']",Germany,DE
2023-04-09,Easter Sunday,"['Christian', 'Common local holiday']",Germany,DE
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Germany,DE
2023-04-10,Easter Monday,"['National holiday', 'Christian']",Germany,DE
2023-04-11,Sixth Day of Passover,"['Observance', 'Hebrew']",Germany,DE
2023-04-12,Seventh Day of Passover,"['Observance', 'Hebrew']",Germany,DE
2023-04-22,Eid ul Fitr,"['Observance', 'Muslim']",Germany,DE
2023-04-23,German Beer Day,['Observance'],Germany,DE
2023-04-27,Girls' Day / Boys' Day,['Observance'],Germany,DE
2023-04-30,Walpurgis Night,['Observance'],Germany,DE
2023-05-01,May Day,['National holiday'],Germany,DE
2023-05-05,Europe Day (Council of Europe),['Observance'],Germany,DE
2023-05-08,Anniversary of the End of World War II,['Observance'],Germany,DE
2023-05-09,Europe Day (European Union),['Observance'],Germany,DE
2023-05-14,Mother's Day,['Observance'],Germany,DE
2023-05-18,Father's Day,['Observance'],Germany,DE
2023-05-18,Ascension Day,"['National holiday', 'Christian']",Germany,DE
2023-05-23,Constitution Day,['Observance'],Germany,DE
2023-05-26,First Day of Shavuot,"['Observance', 'Hebrew']",Germany,DE
